t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.0000	0.3054	0.1728	0.0065	0.0052	0
0.067	-0.0001	0.0003	0.0000	0.8747	0.0000	0.0000	7.9317	7.1994	0.6905	0.3914	0.0335	4
0.133	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.1778	5.6906	0.7285	0.3218	0.0273	0
0.200	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.4567	7.4937	0.9272	0.3328	0.0436	0
0.267	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.4266	6.5390	0.5918	0.2850	0.0354	0
0.333	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.4147	7.1712	0.6466	0.3880	0.0421	0
0.400	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.3834	6.2363	0.7604	0.3453	0.0388	0
0.467	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.2931	6.8023	1.0686	0.4659	0.0506	0
0.533	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.2576	6.7060	0.8785	0.3726	0.0487	1
0.600	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.3958	7.0904	1.2082	0.4537	0.0439	0
0.667	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.3625	6.8599	1.1207	0.3755	0.0457	0
0.733	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.0769	7.0161	0.7574	0.4496	0.0457	0
0.800	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	1.5788	7.7404	0.8451	0.3956	0.0479	0
0.867	-0.0000	0.0000	0.0000	0.8747	0.0000	0.0000	0.1438	6.9575	0.8312	0.2991	0.0400	0
0.933	0.0082	-0.0005	0.0031	0.8778	0.0000	0.0002	0.1582	7.3999	1.1690	0.3696	0.0444	0
1.000	-0.0022	0.0022	0.0033	0.8811	0.0000	0.0005	0.2636	7.0513	1.1593	0.2912	0.0415	0
1.067	0.0005	0.0004	0.0035	0.8846	0.0000	0.0007	4.0237	8.0375	1.3287	0.7697	0.0513	2
1.133	-0.0006	0.0007	0.0032	0.8878	0.0000	0.0007	0.1918	7.3816	1.1238	0.6456	0.0439	0
1.200	-0.0004	-0.0014	0.0035	0.8913	0.0000	0.0591	0.3873	7.7980	1.5069	0.8713	0.0472	0
1.267	0.0038	-0.0022	0.0036	0.8949	0.0000	0.0000	0.4667	7.1149	0.9365	0.6420	0.0410	0
1.333	-0.0024	-0.0004	0.0032	0.8981	0.0000	0.0002	0.9264	7.9671	1.7088	1.1555	0.0541	0
1.400	0.0013	-0.0016	0.0035	0.9016	0.0000	0.0010	0.1579	7.0176	1.0679	0.9553	0.0459	0
1.467	0.0011	0.0017	0.0032	0.9048	0.0000	0.0591	0.3119	7.6073	1.2481	1.2367	0.0526	0
1.533	0.0021	-0.0019	0.0037	0.9085	0.0000	0.0000	0.3015	6.2160	1.0484	1.0118	0.0446	1
1.600	-0.0041	-0.0028	0.0035	0.9119	0.0000	0.0007	0.5451	7.6856	1.5234	1.3821	0.0574	0
1.667	-0.0048	0.0011	0.0033	0.9152	0.0000	0.0012	0.3041	6.6224	1.0064	0.9778	0.0484	0
1.733	0.0072	-0.0044	0.0034	0.9186	0.0000	0.0591	0.4303	7.6766	1.2981	1.2846	0.0494	0
1.800	-0.0318	-0.0138	0.0033	0.9219	0.0000	0.0000	0.2516	7.0393	1.0581	1.0582	0.0389	0
1.867	0.9110	-4.1888	0.0036	0.9255	0.0000	0.0000	0.2902	7.4189	1.4419	1.1634	0.0470	0
1.933	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.3741	7.6415	0.7884	1.0583	0.0506	0
2.000	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.6980	7.7563	1.7242	1.2726	0.0506	8
2.067	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.4347	7.5335	2.1342	1.5344	0.0471	0
2.133	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.3432	7.2946	1.5690	1.1754	0.0520	0
2.200	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.5762	7.6016	1.8014	1.3258	0.0578	0
2.267	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.3933	7.6202	1.7468	1.3229	0.0502	0
2.333	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.3775	7.8505	1.7922	1.3406	0.0560	0
2.400	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.1626	7.8114	1.7236	1.2442	0.0575	0
2.467	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.2874	7.9778	1.6526	1.2770	0.0639	1
2.533	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.2723	7.3436	2.0825	1.3892	0.0535	0
2.600	3.6575	-4.1888	0.0000	0.9255	0.0000	0.0000	0.1201	7.2481	1.9852	1.2977	0.0524	0
2.667	-0.0000	-0.1383	0.0000	0.9255	0.0000	0.0000	0.2505	7.4067	1.8566	1.3252	0.0558	0
2.733	-0.0011	-0.0041	0.0034	0.9222	0.0000	0.0110	0.4476	8.0112	1.9527	1.3727	0.0566	0
2.800	0.0000	0.0000	0.0000	0.9221	0.0000	0.0000	0.1740	7.5602	1.6851	1.3431	0.0480	0
